        CHAUNCEY STREET,Brooklyn,11233,Housing Preservation and Development,559,0.012833,TRUE,-73.92751731,40.68103176
368 LIVONIA AVENUE,Brooklyn,11212,Housing Preservation and Development,1391,0.031933,TRUE,-73.90386491,40.66321282
776 MYRTLE AVENUE,Brooklyn,11206,Housing Preservation and Development,2500,0.057392,TRUE,-73.95137793,40.69488628
1994 FULTON STREET,Brooklyn,11233,Housing Preservation and Development,2000,0.045914,TRUE,-73.91846286,40.678614
2103 PACIFIC STREET,Brooklyn,11233,Housing Preservation and Development,1667,0.038269,TRUE,-73.91739494,40.67611736
277 NEW JERSEY AVENUE,Brooklyn,11207,Housing Preservation and Development,2500,0.057392,TRUE,-73.89478494,40.67283262
863 GLENMORE AVENUE,Brooklyn,11208,Housing Preservation and Development,1800,0.041322,TRUE,-73.87818176,40.67602214
444 HERKIMER STREET,Brooklyn,11213,Housing Preservation and Development,2000,0.045914,TRUE,-73.93883236,40.67882063
1717 LINCOLN PLACE,Brooklyn,11233,Housing Preservation and Development,1836,0.042149,TRUE,-73.91887059,40.66925921
        HALSEY STREET,Brooklyn,11233,Housing Preservation and Development,2200,0.050505,TRUE,-73.92321469,40.68463294
1457 EASTERN PARKWAY EXT,Brooklyn,11233,Housing Preservation and Development,1140,0.026171,TRUE,-73.92012457,40.66966083
        BERGEN STREET,Brooklyn,11238,Department of Citywide Administrative Services,744,0.01708,TRUE,-73.95851958,40.67695564
